Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,Listing Gain
2016-02-12,Team Lease Services Ltd,423.68,26.97,185.24,10.62,66.02,850.0,1.18
2016-02-18,Quick Heal Technologies Ltd,451.25,4.34,36.69,3.82,10.8,321.0,-5.0
2016-03-30,Healthcare Global Enterprises Ltd,649.64,2.36,0.43,0.83,1.56,218.0,-3.76
2016-04-01,Bharat Wire Ropes Ltd,70.0,1.01,2.02,2.08,1.21,45.0,5.22
2016-04-04,Infibeam Avenues Ltd,450.0,0.86,2.23,1.31,1.11,432.0,6.02
2016-05-09,Thyrocare Technologies Ltd,479.21,73.18,225.3,8.73,73.55,446.0,48.43
2016-05-10,Ujjivan Financial Services Ltd,882.5,33.84,135.45,4.02,40.68,210.0,8.1
2016-07-01,Mahanagar Gas Ltd,1038.88,72.84,191.61,6.82,64.54,421.0,28.27
2016-07-12,Quess Corp Ltd,400.0,59.03,392.21,34.08,144.5,317.0,57.41
2016-07-21,LTIMindtree Ltd,1236.38,19.91,10.76,7.39,11.69,710.0,-6.11
2016-08-01,Advanced Enzyme Technologies Ltd,411.49,94.03,393.1,11.67,116.02,896.0,35.04
2016-08-11,Dilip Buildcon Ltd,653.98,9.76,79.64,2.35,20.95,219.0,9.59
